FPA,,,,卡方,FBESFPA_TS,,CFPA,
ALL-AML,,,,,ALL-AML,ALL-AML,,ALL-AML
1,0.771740181,,,,1,0.983492986,,0.818487376
2,0.771740181,,,,2,0.983492986,,0.818487376
3,0.771740181,,,,3,0.983492986,,0.881735973
4,0.771740181,,,,4,0.983492986,,0.876235973
5,0.771740181,,,,5,0.984867986,,0.876235973
6,0.771740181,,,,6,0.986245792,,0.87898457
7,0.771740181,,,,7,0.999990181,,0.87898457
8,0.771740181,,,,8,0.999990181,,0.87898457
9,0.771740181,,,,9,0.999990181,,0.87898457
10,0.771740181,,,,10,0.999990181,,0.87898457
11,0.771740181,,,,11,0.999990181,,0.87898457
12,0.771740181,,,,12,0.999990181,,0.87898457
13,0.771740181,,,,13,0.999990181,,0.87898457
14,0.771740181,,,,14,0.999990181,,0.87898457
15,0.771740181,,,,15,0.999990181,,0.87898457
16,0.771740181,,,,16,0.999990181,,0.87898457
17,0.771740181,,,,17,0.999990181,,0.87898457
18,0.771740181,,,,18,0.999990181,,0.87898457
19,0.771740181,,,,19,0.999990181,,0.87898457
20,0.771740181,,,,20,0.999990181,,0.87898457
21,0.771740181,,,,21,0.999990181,,0.87898457
22,0.771740181,,,,22,0.999990181,,0.87898457
23,0.771740181,,,,23,0.999990181,,0.87898457
24,0.771740181,,,,24,0.999990181,,0.87898457
25,0.771740181,,,,25,0.999990181,,0.87898457
26,0.771740181,,,,26,0.999990181,,0.87898457
27,0.771740181,,,,27,0.999990181,,0.87898457
28,0.771740181,,,,28,0.999990181,,0.87898457
29,0.771740181,,,,29,0.999990181,,0.87898457
30,0.771740181,,,,30,0.999990181,,0.87898457
31,0.771740181,,,,31,0.999990181,,0.87898457
32,0.771740181,,,,32,0.999994389,,0.88173457
33,0.771740181,,,,33,0.999994389,,0.88173457
34,0.771740181,,,,34,0.999994389,,0.88173457
35,0.771740181,,,,35,0.999994389,,0.88173457
36,0.771740181,,,,36,0.999994389,,0.88173457
37,0.771740181,,,,37,0.999994389,,0.88173457
38,0.771740181,,,,38,0.999994389,,0.88173457
